Type,Name,Course
Introduction,Story,Des présentations efficaces
Modules,Bussiness Concept,Des présentations efficaces
Modules,Technology Skills,Des présentations efficaces
Modules,Survey,Des présentations efficaces
Modules,Resources,Des présentations efficaces
Introduction,Story,Présenter des données
Modules,Bussiness Concept,Présenter des données
Modules,Technology Skills,Présenter des données
Modules,Survey,Présenter des données
Modules,Resources,Présenter des données
Introduction,Story,Les e-mails professionnels
Modules,Bussiness Concept,Les e-mails professionnels
Modules,Technology Skills,Les e-mails professionnels
Modules,Survey,Les e-mails professionnels
Modules,Resources,Les e-mails professionnels
Introduction,Story,Communications professionnelles
Modules,Bussiness Concept,Communications professionnelles
Modules,Technology Skills,Communications professionnelles
Modules,Survey,Communications professionnelles
Modules,Resources,Communications professionnelles
Introduction,Story,Leadership efficace
Modules,Bussiness Concept,Leadership efficace
Modules,Technology Skills,Leadership efficace
Modules,Survey,Leadership efficace
Modules,Resources,Leadership efficace
Introduction,Story,Économie circulaire
Modules,Bussiness Concept,Économie circulaire
Modules,Technology Skills,Économie circulaire
Modules,Survey,Économie circulaire
Modules,Resources,Économie circulaire
Introduction,Story,Démarrer une petite entreprise
Modules,Bussiness Concept,Démarrer une petite entreprise
Modules,Technology Skills,Démarrer une petite entreprise
Modules,Survey,Démarrer une petite entreprise
Modules,Resources,Démarrer une petite entreprise
Introduction,Story,L'entrepreneuriat social
Modules,Bussiness Concept,L'entrepreneuriat social
Modules,Technology Skills,L'entrepreneuriat social
Modules,Survey,L'entrepreneuriat social
Modules,Resources,L'entrepreneuriat social
Introduction,Story,Moteurs de croissance
Modules,Bussiness Concept,Moteurs de croissance
Modules,Technology Skills,Moteurs de croissance
Modules,Survey,Moteurs de croissance
Modules,Resources,Moteurs de croissance
Introduction,Story,Impression 3D
Modules,Bussiness Concept,Impression 3D
Modules,Technology Skills,Impression 3D
Modules,Survey,Impression 3D
Modules,Resources,Impression 3D
Introduction,Story,L’état d’esprit de réussite
Modules,Bussiness Concept,L’état d’esprit de réussite
Modules,Technology Skills,L’état d’esprit de réussite
Modules,Survey,L’état d’esprit de réussite
Modules,Resources,L’état d’esprit de réussite
Introduction,Story,La pensée de conception
Modules,Bussiness Concept,La pensée de conception
Modules,Technology Skills,La pensée de conception
Modules,Survey,La pensée de conception
Modules,Resources,La pensée de conception
Introduction,Story,Planification stratégique
Modules,Bussiness Concept,Planification stratégique
Modules,Technology Skills,Planification stratégique
Modules,Survey,Planification stratégique
Modules,Resources,Planification stratégique
Introduction,Story,Flux de trésorerie
Modules,Bussiness Concept,Flux de trésorerie
Modules,Technology Skills,Flux de trésorerie
Modules,Survey,Flux de trésorerie
Modules,Resources,Flux de trésorerie
Introduction,Story,Fondamentaux de la finance
Modules,Bussiness Concept,Fondamentaux de la finance
