name,link,category,categoryLink,language
Matemática por ano,/math/brazil-math-grades,math,/math,pt
Matemática EF: 1º Ano,/math/pt-1-ano,math,/math,pt
Matemática EF: 2º Ano,/math/pt-2-ano,math,/math,pt
Matemática EF: 3º Ano,/math/pt-3-ano,math,/math,pt
Matemática EF: 4º Ano,/math/pt-4-ano,math,/math,pt
Matemática EF: 5º Ano,/math/pt-5-ano,math,/math,pt
Matemática EF: 6º Ano,/math/6-ano-matematica,math,/math,pt
Matemática EF: 7º Ano,/math/pt-7-ano,math,/math,pt
Matemática EF: 8º Ano,/math/pt-8-ano,math,/math,pt
Matemática EF: 9º Ano,/math/pt-9-ano,math,/math,pt
Prepare-se Matemática (BNCC),/math/cursos-preparatorios-ef1,math,/math,pt
Prepare-se para o 3º ano - Matemática,/math/pt-mat-prep-3-ano,math,/math,pt
Prepare-se para o 4º ano,/math/pt-mat-prep-4-ano,math,/math,pt
Prepare-se para o 5º ano,/math/pt-mat-prep-5-ano,math,/math,pt
Prepare-se para o 6º ano ,/math/pt-mat-prep-6-ano-todo-conteudo,math,/math,pt
Prepare-se para o 7º ano ,/math/pt-mat-prep-7-ano-todo-conteudo,math,/math,pt
Prepare-se para o 8º ano,/math/pt-mat-prep-8-ano-todo-conteudo,math,/math,pt
Prepare-se para o 9º ano,/math/pt-mat-prep-9-ano-todo-conteudo,math,/math,pt
Prepare-se para o Ensino Médio,/math/pt-mat-prep-em-todo-conteudo,math,/math,pt
Cursos preparatórios EF2,/math/cursos-preparatorios-ef2,math,/math,pt
Prepare-se para o 6º ano (parte 1),/math/pt-mat-prep-6-ano-1,math,/math,pt
Prepare-se para o 6º ano (parte 2),/math/pt-mat-prep-6-ano-2,math,/math,pt
Prepare-se para o 6º ano (parte 3),/math/pt-mat-prep-6-ano-3,math,/math,pt
Prepare-se para o 6º ano (parte 4),/math/pt-mat-prep-6-ano-4,math,/math,pt
Prepare-se para o 7º ano (parte 1),/math/pt-mat-prep-7-ano-1,math,/math,pt
Prepare-se para o 7º ano (parte 2),/math/pt-mat-prep-7-ano-2,math,/math,pt
Prepare-se para o 7º ano (parte 3),/math/pt-mat-prep-7-ano-3,math,/math,pt
Prepare-se para o 7º ano (parte 4),/math/pt-mat-prep-7-ano-4,math,/math,pt
Prepare-se para o 8º ano (parte 1),/math/pt-mat-prep-8-ano-1,math,/math,pt
Prepare-se para o 8º ano (parte 2),/math/pt-mat-prep-8-ano-2,math,/math,pt
Prepare-se para o 8º ano (parte 3),/math/pt-mat-prep-8-ano-3,math,/math,pt
