nombre,numero,descripcion,url,idioma,topico
Como fazer um currículo?,1,Aprenda a fazer seu currículo para conseguir um trabalho.,https://edu.gcfglobal.org//pt/mundo-profissional/,Portugues,mundo-profissional
Currículos em inglês,2,Conheça esta alternativa para apresentar seu currículo à uma empresa no exterior.,https://edu.gcfglobal.org//pt/mundo-profissional/,Portugues,mundo-profissional
Currículo em vídeo,3,"Com a tecnologia no auge, esta pode ser uma grande alternativa para se candidatar a um emprego.",https://edu.gcfglobal.org//pt/mundo-profissional/,Portugues,mundo-profissional
O que é e como criar um portfólio de trabalho?,4,Veja o que é e como devemos criar esta ferramenta tão prática para mostrar nossos trabalhos.,https://edu.gcfglobal.org//pt/mundo-profissional/,Portugues,mundo-profissional
As redes sociais reforçam seu perfil profissional,5,Conheça algumas redes sociais que lhe ajudam a conseguir emprego.,https://edu.gcfglobal.org//pt/mundo-profissional/,Portugues,mundo-profissional
Tipos de entrevistas de trabalho,6,Veja alguns tipos de entrevista para candidatos a uma vaga de trabalho.,https://edu.gcfglobal.org//pt/mundo-profissional/,Portugues,mundo-profissional
Objetivos de uma entrevista de emprego,7,Considere estes aspectos na hora de participar de uma entrevista de emprego.,https://edu.gcfglobal.org//pt/mundo-profissional/,Portugues,mundo-profissional
Como se preparar para uma entrevista de trabalho,8,Saiba o que você deve fazer antes de participar de uma entrevista de trabalho.,https://edu.gcfglobal.org//pt/mundo-profissional/,Portugues,mundo-profissional
Cinco pontos importantes numa entrevista de trabalho,9,"Siga estes conselhos para conseguir o emprego desejado.
",https://edu.gcfglobal.org//pt/mundo-profissional/,Portugues,mundo-profissional
Como negociar uma oferta de emprego,10,"Quando você estiver pronto para entrar numa nova empresa, deixe todos as condições bem claras.",https://edu.gcfglobal.org//pt/mundo-profissional/,Portugues,mundo-profissional
Procurar trabalho com antecedentes criminais,11,"Se você possui antecedentes criminais, considere estas dicas caso tenha que fazer uma entrevista de emprego.",https://edu.gcfglobal.org//pt/mundo-profissional/,Portugues,mundo-profissional
Relacionamento com colegas,12,Veja como se relacionar de forma positiva com seus colegas de trabalho.,https://edu.gcfglobal.org//pt/mundo-profissional/,Portugues,mundo-profissional
Comunicação Chefe-colaborador,13,"Aprenda a cuidar da relação que você tem com seu chefe para progredir no seu trabalho.
",https://edu.gcfglobal.org//pt/mundo-profissional/,Portugues,mundo-profissional
Coaching empresarial,14,Saiba o que é coaching e como isso pode lhe ajudar no seu crescimento profissional.,https://edu.gcfglobal.org//pt/mundo-profissional/,Portugues,mundo-profissional
O que é etiqueta no trabalho?,15,Vejamos o que é um código de comportamento dentro de uma empresa e como isso pode afetar a impressão que seus colegas de trabalho têm de você.,https://edu.gcfglobal.org//pt/mundo-profissional/,Portugues,mundo-profissional
Como lidar com o não na vida profissional,16,Candidatar-se a um emprego e receber um não como resposta pode ser muito difícil. Vejamos como você pode superar esta situação.,https://edu.gcfglobal.org//pt/mundo-profissional/,Portugues,mundo-profissional
Conselhos para preencher formulários de trabalho online,17,Aqui lhe damos várias conselhos que lhe ajudarão a preencher formulários para se candidatar a uma vaga trabalho de forma online.,https://edu.gcfglobal.org//pt/mundo-profissional/,Portugues,mundo-profissional
Como superar a frustração no trabalho?,18,"Quando o trabalho dos seus sonhos começa a ser frustrante e você se sente decepcionado, é melhor começar a procurar os motivos para que seja mais fácil encontrar uma solução.",https://edu.gcfglobal.org//pt/mundo-profissional/,Portugues,mundo-profissional
Os prós e contras do trabalho temporário,19,Os trabalhos temporários são empregos de curto prazo que podem durar de alguns dias a vários meses. Conheça suas vantagens e desvantagens.,https://edu.gcfglobal.org//pt/mundo-profissional/,Portugues,mundo-profissional
Prós e contras do trabalho freelance,20,"Se você está pensando em entrar no mundo freelancer, primeiro descubra quais são os prós e os contras desse novo modelo de trabalho.",https://edu.gcfglobal.org//pt/mundo-profissional/,Portugues,mundo-profissional
Como ter sucesso profissional?,21,"Você já se perguntou ""Como ter sucesso profissional? Aqui apresentamos algumas dicas que você pode pôr em prática para ter êxito na sua vida profissional. ",https://edu.gcfglobal.org//pt/mundo-profissional/,Portugues,mundo-profissional
