name,link,course,courseLink,description
Matemática EF: 1º Ano,/math/pt-1-ano,Matemática por ano,https://pt.khanacademy.org/math/brazil-math-grades,
Matemática EF: 2º Ano,/math/pt-2-ano,Matemática por ano,https://pt.khanacademy.org/math/brazil-math-grades,
Matemática EF: 3º Ano,/math/pt-3-ano,Matemática por ano,https://pt.khanacademy.org/math/brazil-math-grades,
Matemática EF: 4º Ano,/math/pt-4-ano,Matemática por ano,https://pt.khanacademy.org/math/brazil-math-grades,
Matemática EF: 5º Ano,/math/pt-5-ano,Matemática por ano,https://pt.khanacademy.org/math/brazil-math-grades,
Matemática EF: 6º Ano,/math/6-ano-matematica,Matemática por ano,https://pt.khanacademy.org/math/brazil-math-grades,
Matemática EF: 7º Ano,/math/pt-7-ano,Matemática por ano,https://pt.khanacademy.org/math/brazil-math-grades,
Matemática EF: 8º Ano,/math/pt-8-ano,Matemática por ano,https://pt.khanacademy.org/math/brazil-math-grades,
Matemática EF: 9º Ano,/math/pt-9-ano,Matemática por ano,https://pt.khanacademy.org/math/brazil-math-grades,
Números: conhecendo os números,/math/pt-1-ano/numeros-conhecendo-os-numeros-1ano,Matemática EF: 1º Ano,https://pt.khanacademy.org/math/pt-1-ano,"Nesta unidade você irá estudar contagem, números de 0 a 120 e comparações de números."
Números: operações,/math/pt-1-ano/numeros-operacoes-1ano,Matemática EF: 1º Ano,https://pt.khanacademy.org/math/pt-1-ano,Aprenda a adição e subtração e resolução de problemas de números naturais.
Álgebra,/math/pt-1-ano/algebra-1ano,Matemática EF: 1º Ano,https://pt.khanacademy.org/math/pt-1-ano,"Nesta unidade você inicia os estudos em álgebra, identificando padrões."
Geometria,/math/pt-1-ano/geometria-1ano,Matemática EF: 1º Ano,https://pt.khanacademy.org/math/pt-1-ano,Conheça as formas geométricas básicas e aprenda a se localizar no espaço.
Grandezas e medidas,/math/pt-1-ano/grandezas-e-medidas-1ano,Matemática EF: 1º Ano,https://pt.khanacademy.org/math/pt-1-ano,"Nesta unidade vocês terá a oportunidade de estudar medidas de comprimento, de tempo e uma introdução a educação financeira."
Probabilidade e estatística,/math/pt-1-ano/probabilidade-e-estatistica-1ano,Matemática EF: 1º Ano,https://pt.khanacademy.org/math/pt-1-ano,"Aprenda sobre gráficos, eventos aleatórios e pesquisas estatísticas."
Educação financeira ,/math/pt-1-ano/x89db6cebfb52b811:educacao-financeira,Matemática EF: 1º Ano,https://pt.khanacademy.org/math/pt-1-ano,Aprenda sobre educação financeira. 
Números: soma e subtração até 20,/math/pt-2-ano/numeros-soma-e-subtracao-ate-20-2ano,Matemática EF: 2º Ano,https://pt.khanacademy.org/math/pt-2-ano,Nessa unidade temática vamos estudar noções básicas de adição e subtração.
Números: soma e subtração até 100,/math/pt-2-ano/numeros-soma-e-subtracao-ate-100-2ano,Matemática EF: 2º Ano,https://pt.khanacademy.org/math/pt-2-ano,Nessa unidade temática vamos estudar noções básicas de soma e subtração com números de dois algarismos.
Números: números naturais até 100,/math/pt-2-ano/numeros-numeros-naturais-ate-100-2ano,Matemática EF: 2º Ano,https://pt.khanacademy.org/math/pt-2-ano,Nessa unidade temática vamos estudar as dezenas e centenas.
Álgebra,/math/pt-2-ano/algebra-2ano,Matemática EF: 2º Ano,https://pt.khanacademy.org/math/pt-2-ano,Nessa unidade temática vamos estudar os padrões de sequências.
Geometria,/math/pt-2-ano/geometria-2ano,Matemática EF: 2º Ano,https://pt.khanacademy.org/math/pt-2-ano,Nessa unidade temática vamos estudar noções básicas de geometria.
Grandezas e medidas,/math/pt-2-ano/grandezas-e-medidas-2ano,Matemática EF: 2º Ano,https://pt.khanacademy.org/math/pt-2-ano,Nessa unidade temática vamos estudar noções básicas de grandezas e medidas.
Probabilidade e estatística,/math/pt-2-ano/xfbe5749b1973ac7c:probabilidade-e-estatistica-2ano,Matemática EF: 2º Ano,https://pt.khanacademy.org/math/pt-2-ano,Nessa unidade temática vamos estudar noções básicas de probabilidade e estatística.
Educação financeira,/math/pt-2-ano/xfbe5749b1973ac7c:educacao-financeira,Matemática EF: 2º Ano,https://pt.khanacademy.org/math/pt-2-ano,
Números: soma e subtração,/math/pt-3-ano/numeros-soma-e-subtracao-3ano,Matemática EF: 3º Ano,https://pt.khanacademy.org/math/pt-3-ano,Nessa unidade temática vamos estudar noções básicas e estratégias para somas e subtrações.
Números: multiplicação e divisão,/math/pt-3-ano/numeros-multiplicacao-e-divisao-3ano,Matemática EF: 3º Ano,https://pt.khanacademy.org/math/pt-3-ano,Problemas envolvendo diferentes significados da multiplicação e divisão.
Álgebra,/math/pt-3-ano/algebra-3ano,Matemática EF: 3º Ano,https://pt.khanacademy.org/math/pt-3-ano,Identificação e descrição de regularidades em sequências numéricas recursivas.
